id,county,latitude,longitude,wellDepth,LandSurfaceElevation,WaterElevation,Saturated Thickness,DepthFromLSD,Month,Day,Year
2325907,Lubbock,33.5202780,-101.8972220,30.47999902464003,982.979968544641,979.5509686543691,104.15000000000009,3.4289998902720034,1,7,2000
2325908,Lubbock,33.5358340,-101.9052780,32.61359895636483,983.8943685153802,980.1605686348618,75.25,3.733799880518404,12,31,2015
2325909,Lubbock,33.5305550,-101.9025010,32.30879896611843,985.1135684763658,980.4348886260836,106.45000000000027,4.678679850282217,1,23,2013
2325910,Lubbock,33.5283330,-101.8952780,33.527998927104036,983.5895685251338,978.0483047024543,98.62000000000035,5.5412638226795075,12,20,2013
2325911,Lubbock,33.5208330,-101.8972220,38.70959876129284,982.979968544641,978.0818327013814,99.32999999999993,4.898135843259703,1,23,2013
2326103,Lubbock,33.6066670,-101.8738890,32.30879896611843,979.3223686616842,964.8839931237122,108.13000000000011,14.43837553797195,2,1,2013
2326104,Lubbock,33.5908340,-101.8572230,42.97679862474244,975.6647687787274,965.5819851013765,106.82000000000016,10.0827836773509,1,21,2003
2326108,Lubbock,33.5880560,-101.8369450,43.281598614988845,972.9215688665098,959.7999292864022,98.84999999999991,13.121639580107589,1,16,2001
2326207,Lubbock,33.5847220,-101.8055560,35.96639884907524,971.0927689250314,952.6432255154167,63.86999999999989,18.449543409614673,12,15,2015
2326301,Lubbock,33.6086120,-101.7688890,39.62399873203204,972.9215688665098,944.4105777788616,25.659999999999854,28.510991087648275,2,2,2016
2326404,Lubbock,33.5791670,-101.8722220,33.83279891735044,979.0175686714379,968.9378329939893,98.92999999999984,10.079735677448507,12,19,2014
2326406,Lubbock,33.5475000,-101.8363890,62.78879799075847,970.1783689542922,958.7392253203448,90.66999999999962,11.439143633947465,12,17,2010
2326410,Lubbock,33.5527780,-101.8575010,31.394398995379234,978.7127686811914,962.786969190817,80.94999999999982,15.925799490374416,2,11,1996
2326411,Lubbock,33.5713890,-101.8536120,42.67199863449604,972.9215688665098,964.5334731349288,94.2800000000002,8.38809573158093,3,5,2013
2326512,Lubbock,33.5716670,-101.8269440,46.02479852720645,970.1783689542922,958.0473293424855,90.09999999999991,12.131039611806788,2,11,2009
2326604,Lubbock,33.5419450,-101.7858340,34.13759890759683,961.9487692176394,947.2299776886407,42.210000000000036,14.71879152899866,12,14,2015
2326702,Lubbock,33.5402780,-101.8480560,49.68239841016325,978.7127686811914,959.1110813084455,84.19000000000005,19.60168737274599,2,10,2006
2326802,Lubbock,33.5225000,-101.8161120,39.62399873203204,966.8255690615817,948.6015776447496,94.61000000000013,18.223991416832263,12,17,2015
2327102,Lubbock,33.5866670,-101.7305550,49.37759841991685,961.643969227393,934.1083381085332,40.75999999999976,27.53563111885985,12,15,2015
2327204,Lubbock,33.5861110,-101.6836110,51.20639836139525,957.071969373697,926.6742663464235,92.4699999999998,30.397703027273508,1,12,1998
2327207,Lubbock,33.6238890,-101.6794440,77.11439753233928,961.3391692371466,918.7586105997245,72.5,42.580558637422065,12,15,2015
2327211,Lubbock,33.6005560,-101.6788890,64.00799795174406,957.9863693444362,916.7560746638056,84.5300000000002,41.230294680630564,12,15,2015
2327213,Lubbock,33.5880560,-101.6852780,62.48399800051207,957.6815693541898,917.3809146438108,61.98000000000002,40.300654710378986,12,15,2015
2327402,Lubbock,33.5438890,-101.7272220,35.051998878336036,957.9863693444362,932.1210421721266,59.539999999999964,25.86532717230957,12,14,2015
2327601,Lubbock,33.5708330,-101.6466670,48.76799843942405,953.1095695004938,922.8581704685386,33.05000000000018,30.25139903195523,12,15,2015
2327603,Lubbock,33.5463890,-101.6550010,35.96639884907524,948.5375696467978,920.541690542666,75.15000000000009,27.99587910413184,12,15,2015
2327721,Lubbock,33.5177780,-101.7286110,41.14799868326404,956.7671693834506,925.3605783884615,18.76000000000022,31.406590994989077,12,14,2015
2327801,Lubbock,33.5019450,-101.7033340,51.815998341888054,961.643969227393,926.0189463673937,42.61999999999989,35.625022859999305,2,19,2004
2327811,Lubbock,33.5186110,-101.6975000,46.32959851745285,953.1095695004938,924.3364504212336,43.79999999999973,28.773119079260216,12,14,2015
2328203,Lubbock,33.6091670,-101.5813890,85.34399726899208,960.7295692566538,899.1813072261982,72.87000000000035,61.54826203045557,12,17,2014
2328501,Lubbock,33.5813890,-101.5822220,36.575998829568036,952.499969520001,926.5980663488618,132.6199999999999,25.901903171139104,1,15,2003
2328503,Lubbock,33.5694440,-101.5827780,68.27519781519366,953.7191694809866,923.1538264590775,93.31999999999971,30.565343021909083,12,15,2015
2328703,Lubbock,33.5386110,-101.5858340,49.98719840040965,941.8319698613769,920.1363065556383,67.42000000000007,21.695663305738723,12,17,2014
2333201,Lubbock,33.4780550,-101.9497220,45.71999853696005,1003.0967679009034,964.7956011265408,24.140000000000327,38.30116677436262,2,1,1996
2333202,Lubbock,33.4758330,-101.9527780,45.41519854671365,1002.1823679301642,964.1494251472184,22.019999999999982,38.032942782945895,2,7,2006
